epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7308.35,1.35564,5.0387,1.84899,0.81937,0.70471,0.73933,0.53235,1.49989,4.31823,1.8654,0.00585615,0.00585615,0.00585615
43,7481.51,1.35011,5.02543,1.8476,0.82144,0.70387,0.74122,0.53639,1.49338,4.17492,1.85979,0.0057063,0.0057063,0.0057063
44,7655.33,1.34759,4.97152,1.84133,0.81564,0.71271,0.74487,0.54227,1.46374,4.20183,1.8393,0.00555645,0.00555645,0.00555645
45,7828.86,1.33427,4.93691,1.83349,0.81874,0.70667,0.74203,0.54066,1.46681,4.1849,1.84159,0.0054066,0.0054066,0.0054066
46,8003.46,1.32796,4.87349,1.82145,0.83212,0.69958,0.74266,0.54317,1.47302,4.20975,1.84471,0.00525675,0.00525675,0.00525675
47,8176.43,1.33213,4.88859,1.82921,0.83902,0.69676,0.7426,0.53589,1.49338,4.17959,1.84459,0.0051069,0.0051069,0.0051069
48,8350.93,1.32698,4.85804,1.82595,0.84195,0.70782,0.74545,0.54601,1.46573,4.12548,1.83274,0.00495705,0.00495705,0.00495705
49,8524.45,1.31205,4.84021,1.81356,0.83305,0.72076,0.75054,0.55024,1.45541,4.09125,1.81842,0.0048072,0.0048072,0.0048072
50,8697.44,1.31534,4.84888,1.81717,0.84285,0.72268,0.754,0.54623,1.49457,4.14301,1.85409,0.00465735,0.00465735,0.00465735
51,8871.36,1.29524,4.72545,1.80939,0.84144,0.71598,0.75009,0.55076,1.46424,4.04964,1.83378,0.0045075,0.0045075,0.0045075
52,9044.8,1.29719,4.7604,1.80497,0.83051,0.71263,0.75161,0.54779,1.45945,4.0891,1.81945,0.00435765,0.00435765,0.00435765
53,9218.66,1.28623,4.75209,1.79388,0.84276,0.71821,0.75007,0.55329,1.44266,4.06152,1.81939,0.0042078,0.0042078,0.0042078
54,9391.71,1.2856,4.67868,1.79725,0.83258,0.72086,0.75352,0.55312,1.44761,4.11918,1.82264,0.00405795,0.00405795,0.00405795
55,9566.24,1.26942,4.62804,1.78429,0.8635,0.71802,0.7519,0.5542,1.43596,3.99298,1.8039,0.0039081,0.0039081,0.0039081
56,9740.1,1.27634,4.62744,1.78477,0.85187,0.71988,0.75541,0.5586,1.42874,4.00045,1.79595,0.00375825,0.00375825,0.00375825
57,9914.5,1.27588,4.69773,1.79168,0.84117,0.71915,0.75282,0.55814,1.42814,4.0171,1.78703,0.0036084,0.0036084,0.0036084
58,10088.7,1.25052,4.56797,1.77426,0.83193,0.73147,0.76007,0.56151,1.41574,3.95881,1.77862,0.00345855,0.00345855,0.00345855
59,10262.2,1.25463,4.57109,1.76868,0.85874,0.72349,0.76017,0.55967,1.42852,3.9727,1.78715,0.0033087,0.0033087,0.0033087
60,10435.9,1.25072,4.54945,1.77234,0.84833,0.72175,0.75905,0.5663,1.41343,3.97204,1.78029,0.00315885,0.00315885,0.00315885
61,10608.6,1.2472,4.54531,1.76596,0.85551,0.72919,0.76283,0.5672,1.39742,3.96592,1.7666,0.003009,0.003009,0.003009
62,10782.2,1.24531,4.52455,1.76866,0.86451,0.72305,0.76252,0.56868,1.39197,3.91597,1.75688,0.00285915,0.00285915,0.00285915
63,10955.7,1.22995,4.45502,1.75661,0.8517,0.72383,0.76267,0.56983,1.39263,3.88059,1.75855,0.0027093,0.0027093,0.0027093
64,11130.1,1.24048,4.46354,1.7639,0.86495,0.71779,0.76122,0.573,1.38365,3.89411,1.74424,0.00255945,0.00255945,0.00255945
65,11303.1,1.21634,4.39031,1.74792,0.87294,0.7218,0.76305,0.57257,1.39047,3.86804,1.74734,0.0024096,0.0024096,0.0024096
66,11477.8,1.21355,4.39832,1.7502,0.87243,0.71675,0.7644,0.57234,1.38763,3.87762,1.75331,0.00225975,0.00225975,0.00225975
67,11651.6,1.21038,4.34664,1.74477,0.86571,0.72159,0.76266,0.57578,1.37199,3.85331,1.73979,0.0021099,0.0021099,0.0021099
68,11825.4,1.20572,4.34742,1.74249,0.86978,0.72269,0.76461,0.57826,1.36465,3.84212,1.72973,0.00196005,0.00196005,0.00196005
69,11999.2,1.2076,4.32089,1.74153,0.87188,0.72136,0.76604,0.57762,1.3663,3.83665,1.73054,0.0018102,0.0018102,0.0018102
70,12172.9,1.18528,4.30196,1.72849,0.86312,0.72484,0.76513,0.57983,1.36736,3.85413,1.73034,0.00166035,0.00166035,0.00166035
71,12368.3,1.15116,3.78985,1.7389,0.8706,0.72638,0.76735,0.58062,1.36571,3.83573,1.72734,0.0015105,0.0015105,0.0015105
72,12540.4,1.12333,3.66522,1.71439,0.86732,0.72716,0.76639,0.58052,1.36236,3.82059,1.72179,0.00136065,0.00136065,0.00136065
73,12713.5,1.10448,3.55619,1.69897,0.86346,0.73099,0.76715,0.58429,1.3548,3.76021,1.71469,0.0012108,0.0012108,0.0012108
74,12886.3,1.10737,3.547,1.70203,0.87269,0.72903,0.76972,0.58488,1.35579,3.73728,1.71537,0.00106095,0.00106095,0.00106095
75,13059,1.0978,3.50542,1.69026,0.87367,0.73224,0.77175,0.58685,1.3485,3.69164,1.70541,0.0009111,0.0009111,0.0009111
76,13231.3,1.08681,3.46615,1.68675,0.87823,0.72734,0.77273,0.58736,1.34343,3.69073,1.70193,0.00076125,0.00076125,0.00076125
77,13405.3,1.08364,3.43612,1.68466,0.87656,0.72866,0.77285,0.59038,1.33064,3.6662,1.69242,0.0006114,0.0006114,0.0006114
78,13578.4,1.06965,3.40668,1.66901,0.87082,0.7358,0.77419,0.59094,1.32687,3.65325,1.69057,0.00046155,0.00046155,0.00046155
79,13751.5,1.05817,3.37664,1.66813,0.88046,0.73501,0.7734,0.58957,1.32952,3.66533,1.6913,0.0003117,0.0003117,0.0003117
80,13924.3,1.05753,3.34417,1.66231,0.87624,0.73925,0.77273,0.59047,1.33001,3.66194,1.68875,0.00016185,0.00016185,0.00016185
