epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7275.75,1.73881,4.55613,2.47235,0.78321,0.6783,0.71531,0.51946,1.76985,3.62383,2.32584,0.00959297,0.00959297,0.00959297
43,7447.79,1.73417,4.55032,2.47686,0.79819,0.67329,0.71893,0.51493,1.82389,3.57636,2.37254,0.00936574,0.00936574,0.00936574
44,7621.26,1.71833,4.516,2.45682,0.78652,0.69776,0.72003,0.51687,1.82073,3.57806,2.37009,0.00913666,0.00913666,0.00913666
45,7792.96,1.71011,4.4678,2.45235,0.78106,0.70013,0.72647,0.52271,1.78618,3.48633,2.32835,0.00890597,0.00890597,0.00890597
46,7966.39,1.70489,4.46687,2.45535,0.78872,0.70393,0.72533,0.52835,1.75821,3.47154,2.30689,0.00867389,0.00867389,0.00867389
47,8138.63,1.69221,4.39134,2.43334,0.81567,0.69242,0.72709,0.53328,1.72138,3.39951,2.27842,0.00844066,0.00844066,0.00844066
48,8309.95,1.6809,4.40269,2.43479,0.79673,0.69618,0.72956,0.53681,1.72852,3.4585,2.28382,0.00820649,0.00820649,0.00820649
49,8483.24,1.67979,4.37779,2.429,0.8079,0.69052,0.73048,0.53885,1.73048,3.42981,2.28454,0.00797163,0.00797163,0.00797163
50,8655.76,1.67567,4.38905,2.43112,0.79618,0.69935,0.73128,0.53637,1.72109,3.41206,2.27597,0.00773631,0.00773631,0.00773631
51,8827.62,1.66552,4.32878,2.42265,0.81309,0.70491,0.73469,0.53996,1.69844,3.32499,2.25951,0.00750075,0.00750075,0.00750075
52,8999.64,1.66713,4.35994,2.42344,0.80486,0.70526,0.73422,0.54149,1.71357,3.34318,2.26889,0.00726519,0.00726519,0.00726519
